Date,Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement
3/31/2023,"Technical Specialist - MS, Network",NTT Global Data Centers,"Mumbai, Maharashtra, India",Hybrid,"501-1,000 employees","40,828 followers",21 applicants,Information Technology & Services,Full-time · Mid-Senior level
3/31/2023,Head Marketing - Sesa Coke Gujarat Business,Vedanta Sesa Goa,"Gujarat, India",On-site,"5,001-10,000 employees","27,251 followers",1 week ago                                  Over 200 applicants,Mining & Metals,Full-time · Mid-Senior level
3/31/2023,Senior Cloud Architect,Atotech an MKS Brand,"Manesar, Haryana, India",Hybrid,"1,001-5,000 employees","54,529 followers",51 applicants,Chemicals,Full-time · Mid-Senior level
3/31/2023,Python Developer,ESDS Software Solution Limited,"Nashik, Maharashtra, India",On-site,"501-1,000 employees","29,740 followers",102 applicants,Information Technology & Services,Full-time
3/31/2023,Platform Support Engineer I - Cyber Security,UST,"Thiruvananthapuram, Kerala, India",On-site,"10,001+ employees","821,597 followers",36 applicants,Information Technology & Services,Full-time · Entry level
3/31/2023,User Interface Developer,Skaut,"Kochi, Kerala, India",On-site,2-10 employees,"2,186 followers",19 applicants,Human Resources,Full-time
3/31/2023,"Technical Specialist – MS, AWS",NTT Global Data Centers,"Mumbai, Maharashtra, India",Hybrid,"501-1,000 employees","40,830 followers",57 applicants,Information Technology & Services,Full-time · Mid-Senior level
3/31/2023,Value Stream Leader,GKN Automotive,"Sriperumbudur, Tamil Nadu, India",On-site,"10,001+ employees","107,997 followers",155 applicants,Automotive,Full-time · Mid-Senior level
3/31/2023,Oracle Database Administrator,Tata Consultancy Services,"Chennai, Tamil Nadu, India",On-site,"10,001+ employees","12,346,260 followers",113 applicants,Information Technology & Services,Full-time · Associate
3/31/2023,Senior Data Analyst/Data Modellers,EPAM Systems,"Hyderabad, Telangana, India",Remote,"10,001+ employees","861,706 followers",118 applicants,Information Technology & Services,Full-time · Associate
3/31/2023,"Lead - Data Analyst (Big Data, PySpark)",Citi,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","4,045,391 followers",89 applicants,Financial Services,Full-time
3/31/2023,Senior Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","2,160,649 followers",3 applicants,Financial Services,Full-time · Mid-Senior level
3/31/2023,Senior Data Analyst,Flexmoney Technologies Pvt Ltd,"Mumbai, Maharashtra, India",On-site,11-50 employees,"11,945 followers",3 weeks ago                                  Over 200 applicants,Financial Services,Full-time · Mid-Senior level
3/31/2023,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",Hybrid,"10,001+ employees","2,160,650 followers",3 applicants,Financial Services,Full-time · Mid-Senior level
3/31/2023,Business Intelligence Specialist,VAYUZ Technologies,India,Remote,51-200 employees,"35,312 followers",3 weeks ago                                  Over 200 applicants,Information Technology & Services,Full-time · Mid-Senior level
3/31/2023,ICG - Analytics Markets,Citi,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","4,045,394 followers",31 applicants,Financial Services,Full-time
3/31/2023,Data Analyst,twid,"Bengaluru, Karnataka, India",On-site,11-50 employees,"11,895 followers",1 week ago                                  Over 200 applicants,Internet,Full-time · Associate
3/31/2023,Data Analyst,Acme Services,"Mumbai, Maharashtra, India",Hybrid,51-200 employees,"162,453 followers",1 month ago                                  Over 200 applicants,Human Resources,Full-time · Mid-Senior level
3/31/2023,Associate III - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,"10,001+ employees","821,648 followers",184 applicants,Information Technology & Services,Full-time · Mid-Senior level
3/31/2023,Senior Data Analyst(Power BI/Python),Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",Hybrid,"5,001-10,000 employees","256,298 followers",33 applicants,Information Technology & Services,Full-time · Entry level
3/31/2023,Expression of Interest: Data Analyst,Fingerprint for Success (F4S),India,Remote,11-50 employees,"106,615 followers",1 month ago                                  Over 200 applicants,Computer Software,Full-time · Entry level
3/31/2023,Data Science,TransUnion,"Pune, Maharashtra, India",On-site,"10,001+ employees","322,050 followers",22 applicants,Information Technology & Services,Full-time
3/31/2023,SGEF UK Data Transformation Analyst,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",Hybrid,"5,001-10,000 employees","256,298 followers",16 applicants,Information Technology & Services,Part-time · Entry level
3/31/2023,Quantitative Analytics Specialist,Wells Fargo,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","2,160,653 followers",3 applicants,Financial Services,Full-time · Associate
3/31/2023,Data Analyst 3,Zynga,"Bengaluru, Karnataka, India",Hybrid,"1,001-5,000 employees","212,344 followers",2 weeks ago                                  Over 200 applicants,Computer Games,Full-time · Mid-Senior level
3/31/2023,Analyst,CRISIL Limited,Mumbai Metropolitan Region,On-site,"1,001-5,000 employees","471,962 followers",1 month ago                                  Over 200 applicants,Financial Services,Full-time · Entry level
3/31/2023,Interesting Job Opportunity: Tata Power - Data Scientist - Predictive Modeling/Machine Learning,TATA Power,"Mumbai, Maharashtra, India",Hybrid,"10,001+ employees","1,054,843 followers",3 weeks ago                                  Over 200 applicants,Utilities,Full-time · Entry level
3/31/2023,"Data & Analytics Analyst, Financial Crime",NatWest Group,"Chennai, Tamil Nadu, India",On-site,"10,001+ employees","549,846 followers",33 applicants,Banking,Full-time · Associate
3/31/2023,Data Analyst,Turing,India,Remote,"1,001-5,000 employees","215,907 followers",1 month ago                                  Over 200 applicants,Information Technology & Services,Full-time · Entry level
3/31/2023,Data Analyst-BI,Excellence and Eminence LLP,"Bengaluru North, Karnataka, India",On-site,11-50 employees,"1,263 followers",67 applicants,Professional Training & Coaching,Full-time · Mid-Senior level
3/31/2023,Data Analyst,"Saaki, Argus and Averil Consulting","Chennai, Tamil Nadu, India",On-site,51-200 employees,"3,911 followers",83 applicants,Staffing & Recruiting,Full-time · Entry level
3/31/2023,E-data Senior Analyst,NielsenIQ,"Gurugram, Haryana, India",On-site,"10,001+ employees","698,865 followers",17 applicants,Information Services,Full-time · Mid-Senior level
3/31/2023,Spec Analytics Analyst - C11 - DS,Citi,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","4,045,398 followers",5 applicants,Financial Services,Full-time
3/31/2023,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","4,045,398 followers",14 applicants,Financial Services,Full-time
